img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET
it/43/53/it_10412664.jpg,"狗
猫
父亲
公交车
牛奶","S
个人D
父亲
食品
奶制品
动物
49
第一
猫
QVelcoll
公交车
狗
狗
动物
公交车","Cane
Gatto
Padre
Autobus
Latte",7.02969566273961,14.348675290423193,18.0208139720627,255.55555555555554,0.671277642250061,0.7985448837280273,0.7294014096260071,0.3603603603603604,0.5110570788383484
it/8f/ac/it_10417366.jpg,"雪
沙尘暴
太阳
灰尘
冰雹
雨","雪
沙尘暴
太阳
冰雹
灰尘
雨","Neve
Tempesta di sabbia
Sole
Polvere
Grandine
Pioggia",58.44356470407902,49.53042328042328,54.64781746031746,9.090909090909092,0.9692021608352661,0.9692021608352661,0.9692021608352661,0.9530428249436514,0.9728975892066956
it/03/d9/it_10388340.jpg,"简单组装
只需几个步骤
1
2
3
4
5","安装简便
只需几个步骤","Montaggio semplice
Bastano pochi passaggi
1
2
3
4
5",33.69422210259076,31.245085444008392,25.643920748929748,60.0,0.8673605918884277,0.7340631484985352,0.7951642870903015,0.3025,0.8348003625869751
it/97/1b/it_10400237.jpg,"安装
1
2
3
4","安装
IM
M","installazione
1
2
3
4",19.37692912686648,11.063829787234042,11.037414965986395,66.66666666666666,0.769645094871521,0.7008417248725891,0.7336337566375732,0.17441860465116277,0.451312392950058
it/06/41/it_10408485.jpg,"户外
汽车
人类
沙发
床
地板","露天
沙发
汽车
人体
床
地板","All'aperto
Auto
Umano
Divano
Letto
Pavimenti",26.65837681702885,24.158249158249156,28.9520202020202,36.36363636363637,0.8536990880966187,0.8536990880966187,0.8536990880966187,0.696969696969697,0.9120638966560364
it/43/44/it_10412741.jpg,好！,"不错！
卓达
printy4910",Buono!,8.116697886877475,10.869565217391305,7.246376811594203,500.0,0.5540622472763062,0.7424224019050598,0.6345593333244324,0.20833333333333334,0.5489679574966431
it/e9/ba/it_10405277.jpg,"大腿
小腿
臀部
腹部
肩膀
手臂","小腿
臀部
脚踝
腹肌
肩膀
手臂","Cosce
Caviglie
Glutei
Abs
Spalle
Braccia",43.66835442847811,31.961279461279464,37.30429292929293,41.66666666666667,0.8958660364151001,0.9369693398475647,0.9159567356109619,0.696969696969697,0.825547993183136
it/9a/ca/it_10388965.jpg,里卡多,里卡多,Riccardo,100.00000000000004,100.0,100.0,0.0,1.0000710487365723,1.0000710487365723,1.0000710487365723,0.5,0.9833453297615051
it/e2/91/it_10381137.jpg,迪莱塔,"25
年",Diletta,0.0,0.0,0.0,100.0,0.4700970947742462,0.4768822491168976,0.4734653830528259,0.0,0.458452969789505
it/14/cd/it_10360277.jpg,"满足各种需求
交流电 4000W/16A
USB C 15W/3.0
USB A 12W/2.4","满足各种需求
15W/3.0A
USB.C
12W/2.4A","Soddisfare ogni tipo di esigenza
AC 4000W/16A
USB C 15W/3.0
USB A 12W/2.4",26.2638507365497,41.115086321193026,32.42685725529832,50.0,0.8760688304901123,0.8210552930831909,0.8476703763008118,0.5728191000918275,0.8980572819709778
it/6b/28/it_10388036.jpg,"星期五
早上
11:56
上午
10,
六月
2022","248毫米
222毫米
星期五
10.1英寸
上午
11:56
上午
10,
六月
2022
特罗科特","VENERDÌ
MATTINA
11:56
A.M.
10,
GIUGNO
2022",37.48491492665401,64.58149399876709,66.6587215000002,107.6923076923077,0.6862978339195251,0.8614529371261597,0.7639644742012024,0.6488372093023256,0.5057316422462463
it/c0/75/it_10394247.jpg,"峰值电流
6000A
26800 毫安时
我们继续前进！
4.0L
6.0L
8.5L","电流
6000A
26800mAh
顶峰
24
TCP1197
我们继续前进！
8.5L
FE
4.0L
6.0L","CORRENTE DI PICCO
6000A
26800 mAh
Andiamo avanti !
4.0L
6.0L
8.5L",42.461633178803446,58.97956256875975,53.14997685399593,44.44444444444444,0.8675596714019775,0.820207417011261,0.8432193398475647,0.5469908551655956,0.7632759809494019
it/ee/e5/it_10373217.jpg,"女性
男性
老年人
年轻人
儿童
孩子","女性
男性
长者
青年
儿童
男孩","Donne
Uomini
Anziano
Giovani
Bambini
Bambino",22.932873195775016,19.54139903292938,23.42860232353991,50.0,0.8436613082885742,0.82865309715271,0.8360899090766907,0.7080965909090909,0.9083896279335022
it/90/80/it_10379274.jpg,完美！,"trodat
printy4912
完美！
18毫米
47毫米",Perfetto!,13.950796967929138,29.14445512540418,37.467081637538904,400.0,0.551694929599762,0.8731011152267456,0.6761465072631836,0.6250000000000001,0.46603909134864807
it/9c/6e/it_10396800.jpg,单人,"IT:单人间
ES:80厘米床
DE/FR/SE/PL/BE:135x200厘米",Singolo,3.1465869622290663,17.177914110429448,11.4519427402863,950.0,0.4424270987510681,0.7303787469863892,0.5510534644126892,0.0,0.38246235251426697
it/bf/7a/it_10377070.jpg,马努埃拉,给定的OCR文本列表：,Manuela,0.0,0.0,0.0,200.0,0.4800662398338318,0.43614819645881653,0.45705461502075195,0.0,0.45430269837379456
it/83/58/it_10417003.jpg,"拼图
500片
上帝","拼图
500
片
0
D1&S
首席执行官","PUZZLE
500 PEZZI
DIOS",19.338531381761726,46.37798306461856,38.280761315928,150.0,0.6130144596099854,0.7864736914634705,0.6889943480491638,0.3676470588235294,0.5657718181610107
it/d0/a5/it_10392328.jpg,"几步组装完成
1
2
3
4
5",只需几个步骤即可安装,"Montata in pochi passaggi
1
2
3
4
5",4.996872151825361,4.629629629629629,3.968253968253968,100.0,0.6845749616622925,0.6299420595169067,0.6561232209205627,0.0,0.5999242067337036
it/ed/c8/it_10373632.jpg,"玩具 3 合 1
摇摆
滑梯
篮子","三合一玩具
摇摇椅
滑梯
篮球架","GIOCATTolo 3 IN 1
Dondolo
Scivolo
Canestro",15.727800941615351,16.815026488266092,14.720234621499554,63.63636363636363,0.8310089111328125,0.8496288061141968,0.8402156829833984,0.353968253968254,0.7225745916366577
it/a3/6a/it_10373914.jpg,"星期五
早上
11:56
上午
六月
2022年
7英寸","204毫米
156毫米
星期五
7英寸
上午
88.2毫米
11:56
上午
10,
六月
2022
特罗科顿","VENERDÌ
MATTINA
11:56
A.M.
GIUGNO
2022
7 Pollici",22.095731396358687,41.04016379157461,40.15638559347335,106.25,0.6600368022918701,0.7709251642227173,0.7111844420433044,0.7271739130434783,0.5873333811759949
