img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET,cluster
logo/logo_0008.jpg,"赛鲸
Лежать и смотреть сериалы
Более удобно
Новый улучшенный подлокотник в форме полумесяца
Поддерживает телефон
U5
Универсален для телефонов и планшетов
Защита от пыли
Получите подарок при прогулке","Сяцзин  
Лежать и смотреть сериалы  
Более комфортно  
Новая улучшенная подушка-подставка в форме полумесяца  
U5P поддерживает телефон  
U5  
U5T  
Универсальный для телефонов и планшетов  
Выиграй защитный чехол  
При покупке — подарок","赛鲸
躺着追剧
更舒适
新升级月牙形抱枕支架
支持手机
U5
手机平板通用
赢防尘罩
发逛逛即送",27.797450355941077,61.16764673094959,57.043497678102696,55.172413793103445,0.8330134153366089,0.854004979133606,0.8433786034584045,0.5895850204913002,0.7400604486465454,1
logo/logo_0064.jpg,"彩棠 TIMAGE
Размытое окрашивание
Легко и удобно в использовании
Выбор комплектов
Каждая кисть — с индивидуальной силой
Индивидуально подобранная форма кисти
Разделенные зоны для макияжа, каждая выполняет свою роль
Отборные волокна
Сильное захватывание пудры, равномерное распределение","Цайтан TIMAGE
Идеальное растушевывание
Идеальное владение
Оптимальный набор
Каждая кисть справляется самостоятельно
Индивидуальные формы кистей
Разделение функций для идеального макияжа
Отборные щетинки
Мощный захват и равномерное нанесение пудры
Цайтан
TIMAGE","彩棠TIMAGE
晕染绘色
得心应手
成套优选
每一支都独当一面
定制刷型
分区上妆各司其职
臻选毛丝
抓粉有力释粉均匀",2.7699122230802606,38.46324290248485,32.30467320639944,86.48648648648648,0.7648111581802368,0.7549806237220764,0.759864091873169,0.1209677419354838,0.7548932433128357,1
logo/logo_0099.jpg,"Оптовая торговля Наньфэй
Доставка на следующий день
Гарантия на подлинность
Поддержка дропшиппинга
Некоторые регионы","Южная Африка
Оптовый магазин
Жидкость
Pcant Pro
Pcant
PuantPro Исследование растений
PuantPro Исследование растений
Доставка на следующий день
Гарантия подлинности
Поддержка дропшиппинга
Некоторые регионы","南菲批发店
次日达
保证正品
支持代发
部分地区",24.67247336500928,67.05447987298025,63.15700985196434,114.28571428571428,0.7720731496810913,0.8578263521194458,0.8126938939094543,0.5736625514403293,0.5221725702285767,1
主体自然文字/主体自然文字_0012.jpg,"Компактный и удобный для путешествий
Углубленные отсеки для еды
Свобода передвижения — теперь проще, чем когда-либо
Большие отсеки подходят для тех, кто много ест
Нержавеющая сталь 304
Герметичный и защищённый от утечек","Портативность — отправляйтесь в путь с легкостью  
Углубленный отсек для еды  
Свободные и непринужденные поездки теперь стали проще  
Большой отсек для еды подойдет тем, кто любит плотно поесть  
Сталь 304  
Герметичность и защита от протечек  
Термос с вакуумной изоляцией  
HEATPRESERVATIONPOT  
Сонг 304  
VACUUMINSULATION","便携随你出发
加深食物格
无拘无束出行从此变得简单
大食格适合饭量大的你
304钢材
密封防漏",3.497478755875881,37.84723786648696,33.27294507659959,109.375,0.7084026336669922,0.7550647258758545,0.7309897541999817,0.2253592561284868,0.6701661944389343,1
倾斜文本/倾斜文本_0001.jpg,"Мягкая пятка
Мягкая пятка не натирает ноги
Мягкая пятка, не натирает ноги, бережно защищает лодыжки малыша","Мягкая пятка  
Мягкая пятка, не натирает ноги  
Мягкая пятка, не натирает ноги, заботится о лодыжке малыша","柔软后跟
柔软后跟不易磨脚
柔软后跟，不易磨脚，呵护宝宝脚踝",62.72517339014035,75.47292169825072,75.65108049909853,18.75,0.9307345747947692,0.9345127940177916,0.93261981010437,0.825414364640884,0.9008448719978333,1
倾斜文本/倾斜文本_0026.jpg,"Комфорт и воздухопроницаемость
Лёгкость и функциональность
Лёгкая нейлоновая ткань, ощущение невесомости при носке, обработка поверхности ткани складками, матовая текстура с естественным рисунком","Комфортно и дышаще  
Легкость √ Легкая функциональность  
Тонкий нейлоновый материал, легкий при ношении, с морщинистой обработкой поверхности, матовой текстурой и естественной фактурой","舒适透气
轻量感 轻机能 
轻薄尼龙面料，上身体感轻盈，布面洗皱工艺处理，哑光质感，自带纹理",2.608796433416353,42.97941060792196,36.73889792046114,90.9090909090909,0.7627919912338257,0.7555252909660339,0.7591413259506226,0.18,0.8042398691177368,1
倾斜文本/倾斜文本_0029.jpg,"Сезон закупок
Пропитка изначального материала
Противоскользящий, закругленные углы, без следов и выпуклостей
Усиленная и утолщенная улучшенная версия","Распродажа товаров  
Материал, пропитанный коллагеном  
Нескользящие закругленные края без следов и вздутий  
Утолщенная и усиленная улучшенная версия","拿货节
浸胶原材
防滑 圆角无痕不鼓包
加粗加厚升级款",11.308686807183287,53.06732436833547,47.22663691787356,58.82352941176471,0.8106740713119507,0.8164585828781128,0.8135560750961304,0.4383597883597884,0.7722912430763245,1
同一词翻译一致/同一词翻译一致_0001.jpg,"Шелковистое ощущение при умывании, мягкость и лёгкость
Освежающая водянистая текстура¹³
Лёгкая эмульсионная формула¹⁷
Освежающая водянистая текстура
Комфортное ощущение при умывании
Различные лёгкие масла¹¹
При соприкосновении с кожей ощущается, как шёлк","Ощущение гладкости при умывании
Нежная и легкая текстура
Свежая и водянистая текстура
13
Легкая эмульсионная формула 17
Свежая и водянистая текстура
Комфортное ощущение при умывании
Очищающее масло LUBPURIFYING
Множество легких масел 11
Кожа ощущает, как будто завернута в шелк","洗感丝滑 柔润轻盈
清爽水感¹³
轻感乳化配方¹⁷
清爽水感
洗感舒适
多种轻质油脂¹¹
触肤如裹丝绸",15.21683567267485,53.59065667892644,47.74227005787128,90.0,0.798254132270813,0.7891392707824707,0.7936704754829407,0.3490542558486809,0.8325369954109192,1
同一词翻译一致/同一词翻译一致_0071.jpg,"Тональная основа в маленьком флаконе
Первая тональная основа от CaiTang с эффектом маскировки
Долговечное покрытие и высокая степень маскировки
Для комбинированной и жирной кожи
Для комбинированной и сухой кожи","Маленькая круглая трубка тональной основы  
Первая тональная основа с встроенным консилером от Caitang  
Высокая стойкость  
Высокое покрытие  
Версия для комбинированной и жирной кожи  
10 Облачный  
Версия для комбинированной и сухой кожи  
100 Белый пух","小圆管粉底液
彩棠首款自带遮瑕的持妆粉底液
高持妆 高遮瑕
混油版
混干版",26.56621439255862,56.19688903999618,51.42988105018576,68.96551724137932,0.78023362159729,0.8079754114151001,0.7938622236251831,0.5922264071981587,0.677304208278656,1
同行文本高度不同/同行文本高度不同_0044.jpg,"ANALYSIS
Разбор продукта!
Головка водяного насоса
Съемный выход воды
Ротор насоса
Фиксирующий клапан
Съемный вход воды
Решетка насоса
Присоска насоса","АНАЛИЗ
Продукт
Разборка!
Головка насоса
Съемный выходной патрубок
Ротор насоса
Фиксированный клапан
Съемный входной патрубок
Решетка насоса
Присоска насоса","ANALYSIS
产品解析！
水泵机头
可拆卸出水口
水泵转芯
固定阀
可拆卸进水口
水泵格栅
水泵吸盘",18.54540579183416,66.19137717645071,61.29061870576014,45.0,0.8774645328521729,0.8919965624809265,0.8846708536148071,0.5533958001063263,0.8598979115486145,1
